# This file is a template to create a profile by importing it on the NurseScheduler web application.,,,,,
# A profile starts with the keyword profile, all the lines before this keywork will not be considered.,,,,
# To start defining the shifts, use the keyword shifts on a seperate line before defining the shifts.,,,,
# Each shift is defined on a seperate line and it consists of the shift's name, the shift's start time and the shift's end time,,,,
# To start defining the shift types, use the keyword shift types on a seperate line.,,,,
# Each shift type is defined on a seperate line and it consists of the shift type name followed by the shifts list,,,,,
# To start defining the shift groups, use the keyword shift groups on a seperate line.,,,,
# Each shift group is defined on a seperate line and it consists of the shift group name followed by the shifts list and the shift types list,,,,,
# To start defining the contracts, use the keyword contracts on a seperate line.,,,,
# Each contract begins with the contract name followed by the constraints list.,,,,,
# Each constraint is defined on a line which starts with the constraint name.,,,,,
# Eleven types of constraints are supported by the application.,,,,,
# unwanted patterns which is consisted of a list of pattern elements followed by a weight or a penalty for not respecting the constraint.,,,,,
# The definition of a pattern element consists of a list of days seperated by | followed by a list of shifts seperated by |,,,,,
# ,,,,,
# To start defining  ,,,,,
# You can use the example in this template to create your custom imported profile.,,,,,
,,,,,
profile,,,,,
name,hospital 1,,,,
shifts,,,,,
#shift name ,start time,end time,,,
Early,06:00,12:00,,,
Late,18:00,23:59,,,
MidDay,12:00,18:00,,,
,,,,,
shift types,,,,,
#shift type name ,Shifts,,,,
Day,Early ,,,,
Night,Late,,,,
,,,,,
contracts,,,,,
name,contract 1,,,,
#constraint name ,,,,,
#,days,shift,,,
Unwanted patterns,Monday|Wednesday|Friday,Late|Early,Tuesday,Early,hard
#,min value,min weight,max value,max weight,
total number of working weekends in four weeks,1,5,5,hard,
#,shift,weight,,,
unwanted shift,Early ,hard,,,
#,shift,value,weight,,
number of free days after shift,Early ,1,10,,
#,shift,min value,min weight,max value,max weight
minimum and maximum of consecutive shift type,Early ,1,hard,5,2
#,weight,,,,
identical shift types during weekend,5,,,,
#,weight,,,,
,,,,,
,,,,,
minimum and maximum of working hours in four weeks,80,hard,160,hard,
#,min value,min weight,max value,max weight,
minimum and maximum of consecutive working weekends,1,hard,2,hard,
,,,,,
,,,,,
,,,,,
name,contract 2,,,,
Unwanted patterns,Tuesday,Early,hard,,
unwanted shift,MidDay,5,,,
complete weekends,2,,,,
unwanted skills,Trainee,10,,,
#,min value,min weight,max value,max weight,
minimum and maximum number of assignments in four weeks,20,6,35,10,
,,,,,
name,Contract 3,,,,
minimum and maximum of consecutive shift type,Late,2,5,3,hard
unwanted skills,HeadNurse,5,,,
,,,,,
skills,,,,,
Nurse,HeadNurse,Trainee,,,
,,,,,
,,,,,
contract groups,,,,,
#contract group name,contracts,,,,
contract group,contract 1,contract 2,,,
,,,,,
nurses,,,,,
#username,name,contracts,,,
suz,Suzane,contract 2,,,
Mon,Monique,contract 2,,,
Pat,Patrick,Contract 3,,,
Ali,Alice,Contract 3,,,
Bob,Bob,contract 1,,,
,,,,,
nurse groups,,,,,
#group name,contracts,Nurses,,,
Physio,Contract 3,suz,Mon,,
Ergo,contract 1,Patrick,Alice,,
,,,,,
,,,,,
shift groups,,,,,
